id1,id2
4013_1_2,4911_4_5
4036_5_3,6853_4_2
4038_4_2,5395_3_6
4038_4_3,4845_2_2
4050_4_2,5819_0_2
4053_3_4,5646_0_1
4084_4_2,4641_4_2
4085_1_0,5258_3_0
4089_0_5,4313_2_1
4090_2_5,6231_0_0
4095_3_3,6841_0_5
4095_5_1,4241_3_1
4125_0_1,5459_4_0
4130_2_5,5311_2_0
4194_5_2,4233_2_3
4227_5_1,4606_2_0
4249_1_3,6010_3_1
4337_2_4,4924_1_1
4346_1_1,6634_4_5
4349_4_3,4660_0_6
4358_1_0,5911_0_4
4386_0_1,4788_2_4
4407_3_2,5362_2_6
4494_3_1,5191_3_6
4502_2_2,5691_1_2
4624_5_4,5608_2_1
4693_1_3,6255_5_1
4718_1_1,6343_2_1
4753_3_5,5244_4_2
4775_0_1,6195_4_0
4775_5_0,6259_4_0
4780_4_1,5112_1_0
4816_1_2,6435_3_4
4857_3_4,5040_2_0
4873_3_5,5024_1_1
4892_0_1,5643_5_3
4923_1_3,5026_2_2
4930_2_4,6746_2_5
4961_3_3,6432_2_5
4972_2_5,5601_1_4
4980_4_3,6014_2_1
5019_3_2,5156_5_4
5030_2_1,5922_2_5
5053_3_3,6139_2_2
5109_1_1,5631_2_4
5135_1_2,6516_3_5
5199_2_3,5408_1_2
5213_1_5,6998_5_1
5214_0_3,5773_0_5
5226_3_1,6512_0_2
5236_0_5,5254_3_3
5241_4_4,6212_4_2
5249_0_0,5896_2_1
5262_4_5,6536_3_1
5353_2_1,5526_2_1
5442_2_3,6534_2_5
5452_1_2,6466_4_2
5464_3_5,5951_5_3
5551_0_1,5919_4_2
5569_1_0,6651_3_1
5577_2_5,6351_5_5
5637_2_1,6192_2_6
5874_5_6,6388_4_4
5888_1_5,6329_4_3
5894_4_0,6653_1_2
5994_1_3,6712_0_4
6042_1_6,6553_3_2
6075_0_4,6902_4_2
6148_2_2,6953_1_6
6204_5_3,6630_5_2
6431_3_3,6947_1_2
6451_3_4,6656_0_1
6543_1_0,6776_4_1
6584_3_3,6681_0_1
6596_5_3,6914_2_3
6671_4_4,6686_5_4
6676_5_1,6903_1_5
6700_1_3,6734_0_2
4001_1_6,4165_5_5
4003_1_4,5325_1_6
4007_4_3,6743_0_6
4018_4_6,6617_0_0
4019_2_5,5797_3_2
4026_2_2,6928_4_4
4028_2_3,4200_4_4
4051_2_4,5825_0_0
4061_4_5,4390_2_3
4099_4_4,6124_4_1
4149_1_4,4541_3_3
4165_5_5,4275_0_4
4169_1_4,6743_3_5
4169_3_3,5358_4_4
4181_0_0,5071_2_6
4182_2_1,6388_4_3
4183_4_1,6794_4_1
4204_4_1,6108_2_2
4215_0_2,5157_0_2
4222_4_1,4908_4_0
4271_2_3,6603_2_1
4275_0_4,4359_2_2
4277_0_2,5775_4_5
4280_2_4,4446_3_6
4287_4_4,5516_5_5
4353_4_3,5860_5_1
4359_2_2,4384_0_6
4380_2_4,4624_3_0
4384_0_6,4445_0_1
4433_5_3,4463_1_6
4445_0_1,4631_0_3
4453_1_2,5888_5_2
4463_1_6,4866_0_0
4466_0_0,4861_1_1
4479_3_1,6176_1_5
4541_2_3,5066_2_3
4550_1_2,6287_0_4
4550_3_4,6736_3_4
4551_4_4,6386_1_5
4564_3_5,4846_4_1
4571_0_2,6954_2_2
4577_4_4,5479_3_5
4581_2_5,5279_3_1
4582_2_0,6752_0_2
4599_2_0,6416_3_5
4616_1_4,4819_2_3
4631_0_3,5144_2_4
4632_0_3,6660_1_4
4634_2_3,5338_3_1
4658_2_1,6193_3_0
4734_1_3,5724_2_2
4745_3_2,6070_4_3
4748_4_4,6396_3_3
4753_2_1,6250_4_2
4774_4_4,6258_0_3
4794_1_4,6091_4_0
4805_1_4,6840_3_4
4807_4_5,5911_1_3
4827_5_0,5997_3_4
4838_0_2,6663_3_1
4845_3_0,5917_5_0
4846_4_1,5270_1_1
4861_1_1,6127_4_3
4880_5_5,6110_0_4
4891_4_1,6845_2_3
4915_2_2,5634_4_2
4937_5_2,5450_0_1
4945_0_1,5256_0_2
4952_3_2,6216_0_4
5000_0_1,6200_3_0
5010_5_4,6728_1_4
5016_4_2,5703_1_5
5051_2_1,6680_3_2
5055_2_3,5076_0_4
5059_2_3,5919_2_1
5065_0_5,6564_1_0
5084_5_2,5106_0_4
5087_0_1,6082_2_6
5100_2_4,6978_1_0
5144_2_4,5856_0_3
5151_2_1,6524_4_3
5180_4_0,5766_5_2
5200_1_4,5512_1_4
5260_0_0,5370_3_1
5270_1_1,6803_4_3
5283_3_4,5864_5_3
5329_5_1,5676_4_6
5342_3_2,5383_3_3
5354_2_2,5823_1_1
5373_4_4,5764_2_1
5387_2_3,6843_2_1
5492_3_6,6281_4_1
5503_2_4,5974_3_3
5508_5_1,5856_0_3
5513_3_2,6102_0_2
5566_0_2,6351_2_4
5607_1_5,6135_3_4
5612_2_6,5779_2_4
5626_0_1,6958_4_4
5661_4_5,5798_3_0
5713_1_2,5813_2_0
5724_5_6,6768_3_0
5856_0_3,6270_2_2
5871_4_3,6026_5_1
5896_4_0,6597_4_1
5918_5_2,5990_3_2
5986_4_0,6299_2_6
6012_3_5,6270_1_3
6045_4_3,6745_1_0
6063_2_1,6582_4_2
6159_0_2,6513_2_1
6235_2_4,6647_0_2
6236_4_2,6697_1_2
6343_4_1,6357_4_6
6362_3_0,6518_1_3
6362_5_1,6462_2_4
6546_0_5,6632_3_1
6690_0_5,6902_4_6
6713_5_4,6780_1_2
6718_4_1,6935_3_1
6834_1_1,6903_4_4
4018_4_3,5051_5_4
4019_0_4,4474_0_0
4036_4_1,5042_0_4
4039_0_4,5360_1_1
4043_3_4,6784_4_0
4103_1_3,4279_1_3
4112_3_2,4873_0_2
4114_5_3,4964_3_3
4161_0_5,5096_4_4
4167_4_0,6281_1_5
4174_2_4,4381_2_5
4191_2_4,5389_5_1
4198_2_4,6095_3_5
4200_2_3,5460_4_5
4205_4_6,6649_0_4
4216_1_2,4269_4_3
4231_2_2,4966_1_3
4249_0_1,4759_2_1
4252_4_3,4518_1_4
4297_1_2,4397_0_3
4308_2_1,6749_1_0
4350_0_3,6106_4_2
4355_5_1,5167_4_3
4369_4_0,5744_2_0
4371_3_3,5532_2_0
4380_3_3,6104_0_2
4402_0_2,4500_3_2
4470_4_2,6285_0_1
4510_1_2,6254_4_5
4514_5_3,6349_4_5
4532_2_5,5508_2_1
4537_3_2,5068_2_3
4550_4_1,6286_3_1
4609_1_4,6735_1_3
4624_4_1,5886_5_2
4629_4_1,5413_5_3
4655_2_1,6371_1_2
4665_2_5,6703_0_1
4682_3_5,6495_2_4
4742_4_1,5463_3_5
4772_0_4,5239_1_0
4778_3_5,6069_2_1
4780_4_4,6029_3_4
4795_1_0,6644_0_3
4807_1_0,6104_0_2
4831_4_1,6578_3_0
4834_5_5,5750_2_0
4893_3_2,6141_3_1
4910_1_4,6168_1_4
4928_4_0,6728_0_0
4951_4_4,6343_2_0
4978_4_5,5472_0_1
4998_2_5,5984_2_4
5083_4_6,6194_4_3
5095_5_2,5511_3_2
5116_2_4,5623_2_5
5120_2_1,5124_5_5
5134_2_3,5697_3_1
5146_2_4,5295_1_2
5153_0_4,6478_5_0
5190_4_1,6924_4_0
5227_0_3,6370_5_1
5273_3_2,6273_0_0
5293_3_6,5740_2_1
5315_0_4,6789_3_1
5354_4_4,6195_4_0
5399_5_4,5784_2_5
5401_0_4,6803_4_3
5467_1_2,5573_3_1
5501_1_2,6733_3_2
5540_0_0,6728_2_6
5580_4_4,6099_4_1
5623_0_0,6143_3_4
5632_0_1,6490_2_0
5696_0_0,6009_2_0
5709_2_0,5825_3_5
5840_2_2,6056_2_4
5844_0_3,6552_0_4
5854_2_4,6422_5_3
5903_3_1,6322_2_0
6092_0_0,6893_3_4
6109_0_4,6114_1_3
6110_0_4,6561_0_1
6127_4_3,6438_5_4
6170_2_2,6484_3_1
6256_3_1,6727_1_5
6265_2_0,6681_0_3
6438_5_4,6512_3_1
6483_3_3,6922_1_6
6495_5_4,6533_4_2
6605_4_1,6803_4_3
6650_0_4,6967_4_4
6863_5_5,6960_5_0
4003_2_3,5924_2_4
4026_4_3,6757_5_2
4045_2_2,4239_0_4
4078_4_4,5552_0_2
4079_4_1,6246_0_0
4091_3_1,5861_1_2
4095_4_2,6038_2_4
4097_1_0,5604_0_0
4145_3_1,5488_3_4
4156_5_0,4201_3_2
4174_2_1,6589_1_2
4208_4_3,6364_5_1
4217_3_3,5323_2_5
4261_2_2,4817_0_1
4331_4_4,5770_2_5
4371_1_3,5792_2_5
4374_1_1,5723_0_3
4374_1_3,5044_1_4
4407_0_1,6598_4_1
4440_0_4,4580_1_2
4465_4_0,4974_4_3
4472_2_0,6756_1_0
4538_4_1,5706_0_0
4554_5_1,6249_0_3
4575_0_5,6494_1_6
4588_1_4,6356_5_6
4594_4_1,5505_3_3
4598_2_2,6180_5_3
4601_4_0,6890_1_1
4638_0_3,6772_3_0
4643_3_6,5285_0_0
4646_5_1,6548_4_2
4669_0_4,4673_2_4
4679_4_5,4981_1_4
4729_5_5,5330_2_2
4730_3_4,5580_2_4
4750_1_1,5324_4_4
4762_0_0,5452_0_6
4770_2_3,5851_0_2
4776_4_1,6183_5_3
4872_2_6,6220_4_4
4887_2_1,6245_0_4
4925_4_2,5956_5_3
4955_4_0,6838_4_5
4979_2_6,6114_2_3
4990_4_1,5601_2_2
4994_0_0,5096_1_2
5010_2_2,6606_4_1
5017_4_3,6155_3_2
5024_0_3,5427_3_3
5066_2_1,6950_4_0
5078_2_4,6288_4_0
5173_2_1,5829_3_0
5284_5_0,6793_1_0
5301_0_4,5747_0_5
5317_2_3,5660_4_2
5332_3_1,5959_0_3
5345_0_4,5736_2_3
5405_0_0,6965_0_4
5411_3_4,5419_4_0
5483_4_1,5690_4_5
5484_2_2,6052_1_4
5547_4_4,6571_1_4
5599_1_4,6537_5_0
5705_1_1,5785_3_4
5837_5_3,6081_1_5
5857_0_6,6458_5_2
5874_3_6,6017_1_4
5920_2_1,6134_0_5
5922_4_3,6935_4_4
5949_2_2,6898_1_3
5958_4_4,6503_0_3
5997_2_1,6070_2_4
6009_2_1,6196_5_6
6114_1_4,6481_4_2
6170_3_0,6669_4_2
6194_4_3,6337_2_0
6263_0_3,6366_2_1
6265_2_3,6527_0_0
6384_3_1,6789_2_2
6402_2_1,6895_1_0
4022_5_0,5768_5_0
