id1,id2
5010_2_2,6606_4_1
5190_3_2,6491_5_2
6162_1_3,6990_4_4
5887_3_0,6794_2_0
4315_1_0,4480_4_5
6772_4_3,6883_0_4
5079_3_1,6569_1_4
5989_2_0,6469_2_2
4583_0_3,5617_1_2
5603_4_2,6412_2_6
6776_4_5,6791_0_4
5759_4_4,6237_4_2
5137_4_0,5621_1_3
4672_2_5,5771_2_2
5935_3_1,6148_5_4
4074_1_5,4966_4_2
6124_1_0,6282_3_4
6291_2_4,6826_0_0
4255_1_5,5191_3_5
6231_0_2,6505_4_3
4784_4_3,6815_0_2
4065_1_1,4747_2_0
4358_5_5,5545_0_1
4038_4_0,4798_4_1
4264_3_5,5982_5_1
5427_2_4,5486_1_0
6061_2_3,6659_3_2
4201_5_0,6000_2_0
5897_3_1,6097_3_4
5698_2_3,5766_2_0
4072_1_2,5932_4_6
4770_4_6,5561_3_3
5345_0_3,6315_2_2
5731_4_0,6637_1_2
6100_4_6,6613_4_0
5055_4_1,5551_2_0
4385_0_4,4669_3_0
6203_3_5,6633_0_6
4067_2_6,6736_5_3
4404_1_6,6099_4_0
4212_2_1,4714_2_4
5547_2_1,6477_5_0
4579_0_0,5062_4_6
4084_4_0,4961_0_3
6652_4_2,6743_1_2
6265_1_1,6523_2_6
4196_0_2,5027_3_4
5837_3_5,6614_2_2
4048_1_2,4079_2_0
4060_4_4,5181_2_4
4174_4_1,6997_5_1
5853_4_0,6979_0_2
5505_3_1,5699_3_5
5794_4_6,5939_3_1
4864_1_5,5274_1_2
6054_3_4,6782_3_1
4090_0_0,4671_4_0
4710_3_4,6343_0_4
5747_0_4,6296_5_2
6159_2_2,6728_3_4
4470_3_3,5596_3_4
4962_3_3,5137_0_4
6082_3_3,6232_2_4
4572_4_1,5501_3_0
4474_5_5,6470_5_3
5897_2_3,6941_3_0
4597_0_0,5208_1_5
4227_5_3,4684_1_2
5310_2_6,5781_3_6
5177_5_1,5532_3_6
5609_4_4,6763_3_2
6293_2_1,6514_4_3
4700_4_1,6240_2_0
4057_1_0,5660_4_0
5770_2_0,6687_0_0
4858_4_5,5345_4_3
5221_4_4,6342_2_4
4353_0_4,6234_5_2
5180_4_2,6891_1_0
5200_0_5,5306_2_0
5429_2_5,5591_1_2
5675_5_0,5796_0_3
4576_0_6,4683_0_1
5276_0_5,5766_0_3
5187_4_5,6288_3_3
6296_2_1,6720_2_4
5247_4_3,6657_3_1
4510_2_3,5776_1_1
4678_1_2,6995_4_1
6292_1_4,6998_3_3
6132_0_4,6285_4_3
4808_1_1,5886_0_3
5553_0_0,5584_0_1
5590_2_2,5782_5_2
6308_3_1,6354_2_5
4018_0_1,4334_2_3
4358_5_4,5172_0_6
4345_2_2,4506_0_2
4152_2_1,5532_3_4
4686_0_3,4883_4_5
5514_4_0,6342_0_0
4582_5_5,6757_5_3
4209_0_3,4310_4_5
4849_0_6,5105_3_2
5590_3_0,6345_2_1
4426_4_1,6598_0_1
5333_1_1,6153_4_0
4736_2_0,5014_5_6
4384_1_1,5976_1_1
4406_0_1,5385_0_0
4396_1_0,4759_3_4
5936_3_3,6112_0_3
4477_0_6,5609_1_2
4936_1_3,6465_2_6
4908_0_2,5273_1_0
4362_4_1,6849_1_3
5575_5_6,6845_4_0
4443_1_6,5827_5_1
5668_1_6,6824_1_2
4314_5_4,6401_0_2
4071_5_6,4637_1_2
5019_4_1,6651_4_2
4305_3_2,5715_3_5
5409_3_5,6738_1_2
5012_1_6,6770_0_2
4192_0_5,4240_3_2
4567_0_1,4723_2_0
4547_4_6,6935_2_3
5845_2_2,6040_5_2
4445_3_0,4497_0_4
4582_1_1,4664_2_3
4377_2_0,4639_0_3
4843_1_2,5200_2_2
6362_4_3,6412_1_1
4241_3_1,5444_4_3
5407_1_0,6204_4_6
